variant,pattern,n,max_run_len,iter,comparisons,time_ns
vanilla,full_random,1000,64,0,8726,52228
vanilla,full_random,1000,64,1,8740,49296
vanilla,full_random,1000,64,2,8691,49495
vanilla,full_random,1000,64,3,8728,49209
vanilla,full_random,1000,64,4,8682,49308
vanilla,full_random,1000,64,5,8702,49671
vanilla,full_random,1000,64,6,8738,49010
vanilla,full_random,1000,64,7,8667,47566
vanilla,full_random,1000,64,8,8692,48833
vanilla,full_random,1000,64,9,8714,48514
vanilla,full_random,1000,64,10,8700,48481
vanilla,full_random,1000,64,11,8737,45329
vanilla,full_random,1000,64,12,8705,48955
vanilla,full_random,1000,64,13,8726,49616
vanilla,full_random,1000,64,14,8716,48834
vanilla,full_random,1000,64,15,8718,50398
vanilla,full_random,1000,64,16,8719,50950
vanilla,full_random,1000,64,17,8716,49693
vanilla,full_random,1000,64,18,8731,48877
vanilla,full_random,1000,64,19,8724,42353
vanilla,full_random,1000,64,20,8701,41725
vanilla,full_random,1000,64,21,8699,42331
vanilla,full_random,1000,64,22,8700,45329
vanilla,full_random,1000,64,23,8682,47621
vanilla,full_random,1000,64,24,8742,49087
vanilla,full_random,1000,64,25,8684,62478
vanilla,full_random,1000,64,26,8722,51424
vanilla,full_random,1000,64,27,8701,49407
vanilla,full_random,1000,64,28,8700,50498
vanilla,full_random,1000,64,29,8683,45748
runs,full_random,1000,64,0,9546,43775
runs,full_random,1000,64,1,9538,42628
runs,full_random,1000,64,2,9505,41990
runs,full_random,1000,64,3,9542,42232
runs,full_random,1000,64,4,9502,45957
runs,full_random,1000,64,5,9498,45087
runs,full_random,1000,64,6,9540,45494
runs,full_random,1000,64,7,9499,46993
runs,full_random,1000,64,8,9520,43587
runs,full_random,1000,64,9,9516,41792
runs,full_random,1000,64,10,9531,42033
runs,full_random,1000,64,11,9556,41803
runs,full_random,1000,64,12,9519,42056
runs,full_random,1000,64,13,9542,72628
runs,full_random,1000,64,14,9566,47180
runs,full_random,1000,64,15,9546,45197
runs,full_random,1000,64,16,9573,45186
runs,full_random,1000,64,17,9523,44469
runs,full_random,1000,64,18,9534,44525
runs,full_random,1000,64,19,9504,44160
runs,full_random,1000,64,20,9511,44624
runs,full_random,1000,64,21,9522,45075
runs,full_random,1000,64,22,9490,42299
runs,full_random,1000,64,23,9520,41296
runs,full_random,1000,64,24,9530,41758
runs,full_random,1000,64,25,9496,41570
runs,full_random,1000,64,26,9545,41880
runs,full_random,1000,64,27,9510,43841
runs,full_random,1000,64,28,9530,42551
runs,full_random,1000,64,29,9536,49087
vanilla,random_asc_runs,1000,64,0,6770,14404
vanilla,random_asc_runs,1000,64,1,6670,13578
vanilla,random_asc_runs,1000,64,2,6771,12817
vanilla,random_asc_runs,1000,64,3,6763,12542
vanilla,random_asc_runs,1000,64,4,6985,12795
vanilla,random_asc_runs,1000,64,5,6445,12387
vanilla,random_asc_runs,1000,64,6,7033,13071
vanilla,random_asc_runs,1000,64,7,6619,12465
vanilla,random_asc_runs,1000,64,8,6799,12608
vanilla,random_asc_runs,1000,64,9,6635,12167
vanilla,random_asc_runs,1000,64,10,6853,12399
vanilla,random_asc_runs,1000,64,11,6443,11925
vanilla,random_asc_runs,1000,64,12,6708,12211
vanilla,random_asc_runs,1000,64,13,6662,12355
vanilla,random_asc_runs,1000,64,14,6716,12432
vanilla,random_asc_runs,1000,64,15,6937,12696
vanilla,random_asc_runs,1000,64,16,6772,12476
vanilla,random_asc_runs,1000,64,17,6793,12267
vanilla,random_asc_runs,1000,64,18,6782,12300
vanilla,random_asc_runs,1000,64,19,6823,12476
vanilla,random_asc_runs,1000,64,20,6837,12432
vanilla,random_asc_runs,1000,64,21,6765,12443
vanilla,random_asc_runs,1000,64,22,6843,12464
vanilla,random_asc_runs,1000,64,23,6813,12531
vanilla,random_asc_runs,1000,64,24,7024,12972
vanilla,random_asc_runs,1000,64,25,6572,16741
vanilla,random_asc_runs,1000,64,26,6810,17535
vanilla,random_asc_runs,1000,64,27,6932,17733
vanilla,random_asc_runs,1000,64,28,6853,16663
vanilla,random_asc_runs,1000,64,29,6790,16488
runs,random_asc_runs,1000,64,0,4281,8045
runs,random_asc_runs,1000,64,1,3950,6965
runs,random_asc_runs,1000,64,2,4101,7230
runs,random_asc_runs,1000,64,3,4222,7582
runs,random_asc_runs,1000,64,4,4117,7329
runs,random_asc_runs,1000,64,5,4163,7406
runs,random_asc_runs,1000,64,6,4551,8068
runs,random_asc_runs,1000,64,7,4296,9015
runs,random_asc_runs,1000,64,8,4432,8629
runs,random_asc_runs,1000,64,9,4241,8850
runs,random_asc_runs,1000,64,10,4106,8001
runs,random_asc_runs,1000,64,11,3929,7196
runs,random_asc_runs,1000,64,12,4041,7285
runs,random_asc_runs,1000,64,13,4423,8056
runs,random_asc_runs,1000,64,14,4255,8155
runs,random_asc_runs,1000,64,15,4902,8839
runs,random_asc_runs,1000,64,16,4259,7648
runs,random_asc_runs,1000,64,17,4224,7935
runs,random_asc_runs,1000,64,18,4540,8354
runs,random_asc_runs,1000,64,19,3879,7108
runs,random_asc_runs,1000,64,20,4343,8111
runs,random_asc_runs,1000,64,21,4466,8111
runs,random_asc_runs,1000,64,22,4100,7561
runs,random_asc_runs,1000,64,23,4263,7946
runs,random_asc_runs,1000,64,24,4308,8045
runs,random_asc_runs,1000,64,25,4182,7748
runs,random_asc_runs,1000,64,26,4280,7946
runs,random_asc_runs,1000,64,27,4289,7561
runs,random_asc_runs,1000,64,28,4496,8321
runs,random_asc_runs,1000,64,29,4272,7836
vanilla,random_desc_runs,1000,64,0,7020,18714
vanilla,random_desc_runs,1000,64,1,6835,16608
vanilla,random_desc_runs,1000,64,2,6618,15253
vanilla,random_desc_runs,1000,64,3,7122,16532
vanilla,random_desc_runs,1000,64,4,6598,15065
vanilla,random_desc_runs,1000,64,5,6694,15694
vanilla,random_desc_runs,1000,64,6,6678,15121
vanilla,random_desc_runs,1000,64,7,6785,15628
vanilla,random_desc_runs,1000,64,8,6808,15242
vanilla,random_desc_runs,1000,64,9,6713,15352
vanilla,random_desc_runs,1000,64,10,6681,15759
vanilla,random_desc_runs,1000,64,11,6603,15859
vanilla,random_desc_runs,1000,64,12,6523,15385
vanilla,random_desc_runs,1000,64,13,6696,14183
vanilla,random_desc_runs,1000,64,14,6816,13324
vanilla,random_desc_runs,1000,64,15,6846,16774
vanilla,random_desc_runs,1000,64,16,6729,16002
vanilla,random_desc_runs,1000,64,17,6814,16167
vanilla,random_desc_runs,1000,64,18,6685,15804
vanilla,random_desc_runs,1000,64,19,6695,15903
vanilla,random_desc_runs,1000,64,20,6508,14955
vanilla,random_desc_runs,1000,64,21,6880,16266
vanilla,random_desc_runs,1000,64,22,6702,15925
vanilla,random_desc_runs,1000,64,23,6839,15198
vanilla,random_desc_runs,1000,64,24,6765,15716
vanilla,random_desc_runs,1000,64,25,7097,15804
vanilla,random_desc_runs,1000,64,26,6675,16146
vanilla,random_desc_runs,1000,64,27,6783,17137
vanilla,random_desc_runs,1000,64,28,6737,15738
vanilla,random_desc_runs,1000,64,29,6888,16685
runs,random_desc_runs,1000,64,0,4809,10701
runs,random_desc_runs,1000,64,1,4409,9115
runs,random_desc_runs,1000,64,2,4215,9004
runs,random_desc_runs,1000,64,3,4954,10150
runs,random_desc_runs,1000,64,4,4086,8662
runs,random_desc_runs,1000,64,5,4484,9126
runs,random_desc_runs,1000,64,6,4040,8012
runs,random_desc_runs,1000,64,7,4462,8971
runs,random_desc_runs,1000,64,8,4545,8993
runs,random_desc_runs,1000,64,9,4467,8860
