variant,pattern,n,max_run_len,iter,comparisons,time_ns
vanilla,full_random,1000,8,0,8726,44040
vanilla,full_random,1000,8,1,8740,42982
vanilla,full_random,1000,8,2,8691,43092
vanilla,full_random,1000,8,3,8728,42893
vanilla,full_random,1000,8,4,8682,42397
vanilla,full_random,1000,8,5,8702,42695
vanilla,full_random,1000,8,6,8738,42739
vanilla,full_random,1000,8,7,8667,42287
vanilla,full_random,1000,8,8,8692,42783
vanilla,full_random,1000,8,9,8714,42232
vanilla,full_random,1000,8,10,8700,42518
vanilla,full_random,1000,8,11,8737,42122
vanilla,full_random,1000,8,12,8705,42012
vanilla,full_random,1000,8,13,8726,42617
vanilla,full_random,1000,8,14,8716,42067
vanilla,full_random,1000,8,15,8718,42155
vanilla,full_random,1000,8,16,8719,42210
vanilla,full_random,1000,8,17,8716,41737
vanilla,full_random,1000,8,18,8731,42133
vanilla,full_random,1000,8,19,8724,42442
vanilla,full_random,1000,8,20,8701,42243
vanilla,full_random,1000,8,21,8699,42949
vanilla,full_random,1000,8,22,8700,42386
vanilla,full_random,1000,8,23,8682,41328
vanilla,full_random,1000,8,24,8742,42265
vanilla,full_random,1000,8,25,8684,71054
vanilla,full_random,1000,8,26,8722,43180
vanilla,full_random,1000,8,27,8701,41957
vanilla,full_random,1000,8,28,8700,42122
vanilla,full_random,1000,8,29,8683,41493
runs,full_random,1000,8,0,9546,44921
runs,full_random,1000,8,1,9538,42518
runs,full_random,1000,8,2,9505,42232
runs,full_random,1000,8,3,9542,42177
runs,full_random,1000,8,4,9502,41846
runs,full_random,1000,8,5,9498,42287
runs,full_random,1000,8,6,9540,42078
runs,full_random,1000,8,7,9499,41515
runs,full_random,1000,8,8,9520,41461
runs,full_random,1000,8,9,9516,41703
runs,full_random,1000,8,10,9531,41989
runs,full_random,1000,8,11,9556,42045
runs,full_random,1000,8,12,9519,41857
runs,full_random,1000,8,13,9542,50101
runs,full_random,1000,8,14,9566,42276
runs,full_random,1000,8,15,9546,41384
runs,full_random,1000,8,16,9573,41186
runs,full_random,1000,8,17,9523,41781
runs,full_random,1000,8,18,9534,41461
runs,full_random,1000,8,19,9504,40976
runs,full_random,1000,8,20,9511,41208
runs,full_random,1000,8,21,9522,51501
runs,full_random,1000,8,22,9490,41229
runs,full_random,1000,8,23,9520,41262
runs,full_random,1000,8,24,9530,41813
runs,full_random,1000,8,25,9496,41328
runs,full_random,1000,8,26,9545,41814
runs,full_random,1000,8,27,9510,41615
runs,full_random,1000,8,28,9530,41913
runs,full_random,1000,8,29,9536,41704
vanilla,random_asc_runs,1000,8,0,7959,25866
vanilla,random_asc_runs,1000,8,1,8029,22880
vanilla,random_asc_runs,1000,8,2,7966,21546
vanilla,random_asc_runs,1000,8,3,8000,22394
vanilla,random_asc_runs,1000,8,4,8034,22053
vanilla,random_asc_runs,1000,8,5,7923,20973
vanilla,random_asc_runs,1000,8,6,8091,21667
vanilla,random_asc_runs,1000,8,7,8050,21909
vanilla,random_asc_runs,1000,8,8,7951,33636
vanilla,random_asc_runs,1000,8,9,7955,21535
vanilla,random_asc_runs,1000,8,10,7874,20863
vanilla,random_asc_runs,1000,8,11,7899,20708
vanilla,random_asc_runs,1000,8,12,7903,21160
vanilla,random_asc_runs,1000,8,13,7986,21799
vanilla,random_asc_runs,1000,8,14,7891,20962
vanilla,random_asc_runs,1000,8,15,7979,21072
vanilla,random_asc_runs,1000,8,16,7950,21149
vanilla,random_asc_runs,1000,8,17,8012,21237
vanilla,random_asc_runs,1000,8,18,7919,20642
vanilla,random_asc_runs,1000,8,19,7951,20797
vanilla,random_asc_runs,1000,8,20,7905,20609
vanilla,random_asc_runs,1000,8,21,7931,21160
vanilla,random_asc_runs,1000,8,22,7982,20554
vanilla,random_asc_runs,1000,8,23,7916,21050
vanilla,random_asc_runs,1000,8,24,8006,21215
vanilla,random_asc_runs,1000,8,25,7986,21028
vanilla,random_asc_runs,1000,8,26,7921,20014
vanilla,random_asc_runs,1000,8,27,7952,19992
vanilla,random_asc_runs,1000,8,28,8010,20675
vanilla,random_asc_runs,1000,8,29,8061,21028
runs,random_asc_runs,1000,8,0,7246,18085
runs,random_asc_runs,1000,8,1,7233,16543
runs,random_asc_runs,1000,8,2,7126,15804
runs,random_asc_runs,1000,8,3,7212,16388
runs,random_asc_runs,1000,8,4,7231,16344
runs,random_asc_runs,1000,8,5,7090,15606
runs,random_asc_runs,1000,8,6,7241,16134
runs,random_asc_runs,1000,8,7,7226,16113
runs,random_asc_runs,1000,8,8,7142,15462
runs,random_asc_runs,1000,8,9,7229,17083
runs,random_asc_runs,1000,8,10,7100,16178
runs,random_asc_runs,1000,8,11,7146,16488
runs,random_asc_runs,1000,8,12,7102,16068
runs,random_asc_runs,1000,8,13,7213,17005
runs,random_asc_runs,1000,8,14,7161,16410
runs,random_asc_runs,1000,8,15,7286,16576
runs,random_asc_runs,1000,8,16,7114,15980
runs,random_asc_runs,1000,8,17,7198,16134
runs,random_asc_runs,1000,8,18,7161,16222
runs,random_asc_runs,1000,8,19,7158,16134
runs,random_asc_runs,1000,8,20,7138,16046
runs,random_asc_runs,1000,8,21,7243,16377
runs,random_asc_runs,1000,8,22,7130,15759
runs,random_asc_runs,1000,8,23,7177,16487
runs,random_asc_runs,1000,8,24,7164,16344
runs,random_asc_runs,1000,8,25,7214,15583
runs,random_asc_runs,1000,8,26,7072,15385
runs,random_asc_runs,1000,8,27,7174,15562
runs,random_asc_runs,1000,8,28,7287,16366
runs,random_asc_runs,1000,8,29,7308,16465
vanilla,random_desc_runs,1000,8,0,7994,23717
vanilla,random_desc_runs,1000,8,1,7948,22560
vanilla,random_desc_runs,1000,8,2,8036,22009
vanilla,random_desc_runs,1000,8,3,8061,22196
vanilla,random_desc_runs,1000,8,4,7941,21479
vanilla,random_desc_runs,1000,8,5,7938,21072
vanilla,random_desc_runs,1000,8,6,8003,21700
vanilla,random_desc_runs,1000,8,7,7962,21458
vanilla,random_desc_runs,1000,8,8,8032,21381
vanilla,random_desc_runs,1000,8,9,7991,21193
vanilla,random_desc_runs,1000,8,10,7954,21579
vanilla,random_desc_runs,1000,8,11,7984,21932
vanilla,random_desc_runs,1000,8,12,7910,20509
vanilla,random_desc_runs,1000,8,13,7858,20797
vanilla,random_desc_runs,1000,8,14,7982,21149
vanilla,random_desc_runs,1000,8,15,7889,21215
vanilla,random_desc_runs,1000,8,16,8000,20918
vanilla,random_desc_runs,1000,8,17,7984,20840
vanilla,random_desc_runs,1000,8,18,7984,21513
vanilla,random_desc_runs,1000,8,19,8042,21424
vanilla,random_desc_runs,1000,8,20,8003,20576
vanilla,random_desc_runs,1000,8,21,7953,20796
vanilla,random_desc_runs,1000,8,22,7966,21767
vanilla,random_desc_runs,1000,8,23,8148,21899
vanilla,random_desc_runs,1000,8,24,7995,21061
vanilla,random_desc_runs,1000,8,25,8014,21590
vanilla,random_desc_runs,1000,8,26,7985,21028
vanilla,random_desc_runs,1000,8,27,7932,21005
vanilla,random_desc_runs,1000,8,28,7977,20686
vanilla,random_desc_runs,1000,8,29,7941,20719
runs,random_desc_runs,1000,8,0,7245,18228
runs,random_desc_runs,1000,8,1,7186,17457
runs,random_desc_runs,1000,8,2,7257,17656
runs,random_desc_runs,1000,8,3,7330,17446
runs,random_desc_runs,1000,8,4,7328,17270
runs,random_desc_runs,1000,8,5,7152,16752
runs,random_desc_runs,1000,8,6,7310,17502
runs,random_desc_runs,1000,8,7,7315,17214
runs,random_desc_runs,1000,8,8,7265,17225
runs,random_desc_runs,1000,8,9,7198,17137
runs,random_desc_runs,1000,8,10,7220,17458
runs,random_desc_runs,1000,8,11,7240,84288
runs,random_desc_runs,1000,8,12,7047,16829
runs,random_desc_runs,1000,8,13,7079,17005
runs,random_desc_runs,1000,8,14,7153,17182
runs,random_desc_runs,1000,8,15,7238,17512
runs,random_desc_runs,1000,8,16,7174,17358
runs,random_desc_runs,1000,8,17,7135,16642
runs,random_desc_runs,1000,8,18,7218,17016
runs,random_desc_runs,1000,8,19,7322,17843
runs,random_desc_runs,1000,8,20,7251,16774
runs,random_desc_runs,1000,8,21,7250,17126
runs,random_desc_runs,1000,8,22,7249,17788
runs,random_desc_runs,1000,8,23,7435,18130
runs,random_desc_runs,1000,8,24,7148,16608
runs,random_desc_runs,1000,8,25,7292,17666
runs,random_desc_runs,1000,8,26,7180,17093
runs,random_desc_runs,1000,8,27,7241,17633
runs,random_desc_runs,1000,8,28,7110,16995
