trial,original_ns,tco_ns,method2_ns,iterative_ns
0,1017753,1008440,938686,798941
1,1223108,1036793,927580,721221
2,1133437,1181022,975357,783992
3,931339,938141,927740,684068
4,1047216,1073870,1078259,841935
5,1134505,1226343,1129037,824870
6,1155222,1116073,1128663,796058
7,2539642,1446759,1228938,823856
8,1101571,1212065,1093594,783201
9,942498,954726,971342,728429
10,1012851,1037038,908529,736694
11,965789,971310,927046,704326
12,1125962,1036654,937938,702213
13,916591,938493,911049,715443
14,1015509,1026103,887695,711407
15,966152,1007287,915566,830754
16,1176185,1761076,1118220,845075
17,1175522,1166723,1149369,794329
18,1110723,1068670,1049586,762879
19,996085,1258145,1175351,887064
20,1327985,990756,879856,715379
21,961432,1008568,919133,715304
22,1048956,1090562,955676,763008
23,1126752,1105181,937959,722770
24,1014560,1041812,957630,718434
25,1012328,1112261,940875,719288
26,994003,1018617,891624,689045
27,2527810,2544721,1214028,1287459
28,1206214,1106974,1178748,823321
29,1192918,1243205,1129731,1073496
30,2095403,1784127,1375933,881073
31,1032756,987915,1006091,690134
32,1048849,1048155,1182207,789128
33,925658,994451,900103,691522
34,1024469,1068797,924259,703825
35,1083898,1067825,920296,726678
36,962916,969537,925327,674522
37,1051732,1000229,1172906,827251
38,1269240,1606181,1336045,814191
39,1182591,1244454,1185937,786287
40,1083502,1096926,1162249,870020
41,1282653,1410320,1395379,769361
42,945275,1004703,930143,748911
43,1021960,1028752,963364,729283
44,1109996,1204334,1132764,872135
45,1833632,1202518,1133608,1331458
46,1015265,1012562,926373,761448
47,1066064,1012232,897968,701337
48,1266769,1116425,1077725,693765
49,991797,988620,909490,675066
50,995562,1074511,945435,715710
51,993746,1000676,944345,2708820
52,1211040,1215461,1217512,856117
53,1018190,1227903,1122491,742835
54,963322,1044065,1094907,820225
55,1347428,1210400,1098061,716875
56,979308,979362,906756,688811
57,975699,975518,899708,698678
58,992038,1009284,923127,701411
59,983143,1006048,932759,705373
60,932844,933666,951597,696371
61,970017,991493,918716,700119
62,1028314,1109730,944506,834417
63,1149626,1169105,1049105,826878
64,1256297,1155200,1173878,865748
65,1125780,1110199,1347613,799006
66,1120975,1217597,1159899,817854
67,1047108,998851,1001243,742921
68,1004895,991824,895661,685468
69,1053323,1374425,1077821,756397
70,1431475,993587,893578,844135
71,1102692,1077255,912170,717910
72,934168,955185,875883,677502
73,1059635,1143625,908742,912889
74,1144842,1145749,1140090,869396
75,996095,1130820,1155003,717334
76,1142236,1199273,1068029,738061
77,999139,1162259,1115112,824998
78,1200895,1042495,907343,692890
79,972816,1031976,890075,676337
80,978048,1010128,937202,708267
81,1010982,1048838,1387798,708834
82,934917,986794,949119,746487
83,924451,953220,964699,695506
84,1032767,1121648,1109655,777125
85,1030118,1133384,1173344,1270810
86,1153022,1200118,1117526,1023749
87,1239917,1161320,1072043,871184
88,1143934,1095655,1053163,826183
89,1135402,1100546,1125695,753215
90,980174,1006529,921205,739055
91,1028944,1088147,949739,784674
92,1051594,1107871,981017,783959
93,969046,984808,961646,752606
94,1002044,1073368,911956,720035
