trial,original_ns,tco_ns,method2_ns,iterative_ns
0,9514104,9784230,8588769,7136932
1,9409772,9558326,8259575,6882172
2,9641979,9845589,8535223,7074688
3,10845149,9766103,8692839,7274599
4,9420971,9460714,8517929,7005931
5,11171269,11641464,9729433,8263690
6,9393781,9517697,8414275,6907377
7,9360658,9525150,8399023,6977145
8,9591249,9774596,8479081,7080121
9,9230388,9301799,8485488,6933235
10,9761783,9905961,8353811,6963133
11,9829756,10015604,8632478,7171221
12,9039436,9105431,8238698,6779473
13,9295654,9390973,8422097,6953236
14,9370138,9501034,8261095,6825831
15,10351880,10738003,9304456,7913205
16,8993964,9116160,8312401,6832342
17,9409776,9545151,8401992,6955580
18,8903905,9022717,8230156,6784369
19,9060532,9157362,8364854,6869480
20,9982841,10187492,8700869,7215340
21,10013468,10389695,9348366,7829552
22,9725634,9888094,8706442,7215288
23,9454832,9248775,8361833,6922505
24,9506190,13202773,8839941,7373737
25,9350345,9506346,8672065,7168773
26,9221012,9354616,8280160,6876340
27,9520209,9649124,8550713,7045502
28,9650686,9895132,8707963,7328490
29,9583390,9774810,8623842,6985341
30,9273681,9363583,8325904,6838039
31,9083928,9392179,8532847,7040449
32,9641519,9814552,8603424,7145873
33,9660688,9814553,8585455,7180043
34,9727463,9938989,8686348,7276247
35,9763091,10001598,9040383,7543193
36,9853201,10100250,8684941,7297342
37,9440412,9562400,8443049,6949557
38,9295245,9419160,8420704,7003936
39,9288057,9398898,8443726,7015135
40,9286234,9427598,8506595,6927472
41,9913049,10124992,8809324,7330835
42,9338790,9460881,8386013,6872833
43,9584484,9772935,8589569,7126289
44,10137701,10278700,8778541,7293227
45,10212028,10458661,8793230,7330365
46,9369625,9451298,8374012,6824570
47,9155142,9303797,8383528,6856238
48,9132120,9300828,8182004,6767587
49,9444016,9551992,8200079,6807641
50,9688719,9792580,8524735,7023541
51,11215436,11614004,9226137,7831460
52,9601161,9758307,8779440,7225743
53,9558866,9733826,8564478,7131674
54,9768672,10070515,8830121,8769699
55,10557892,11347840,9695960,7930425
56,9977436,10322095,9320830,7896985
57,11787505,13431417,11395708,9343696
58,10647533,11586293,11174548,10636387
59,12942739,17973491,15105591,8614794
60,9636372,9810758,8982214,8704695
61,10159740,10292197,8855226,7323197
62,9946601,10239329,8925804,7462373
63,9196134,9352343,8569895,7141674
64,9260254,9411566,8456940,6980280
65,10148656,10329187,8668511,7295717
66,9302300,9390796,8353179,6922620
67,9758475,10039169,8906651,7514584
68,9419496,9528252,8328334,6961060
69,9323656,9470124,8610487,7039816
70,9210211,9326261,8464071,6938715
71,10614987,10921204,9009001,7645582
72,9243235,9307353,8360887,6843813
73,9578672,9882545,8393129,6990854
74,9319697,9441945,8460164,6979395
75,9713993,10757756,8620956,7072474
76,9390951,9527366,8340782,7018928
77,9642426,9877649,8457612,7029450
78,10431798,10834011,9191408,7766892
79,9599976,9761912,8496000,7068880
80,9103850,9242818,9669667,7023408
81,9631957,9731338,8370107,7195971
82,9592475,9705659,8426569,7006741
83,9435746,9670761,8608612,7106850
84,9259381,9412086,8452006,6979888
85,9525350,9688225,8577378,7102812
86,9139755,9230124,8168291,6759147
87,9880840,10074653,8538886,7135574
88,9214759,9318828,8435494,6965304
89,9853494,10153773,8741450,7306522
90,10335710,10578797,8693479,7392673
91,9577437,9832087,8574774,7182922
92,9205852,9379561,8501541,7065362
93,9480400,9609574,8269912,6844776
94,10299770,10602132,8949222,7482886
95,9615147,9812867,8609620,7181151
96,9543424,9716403,8611130,7084843
97,10149710,10402224,8762233,7305168
98,10234715,10656354,9651139,8230222
99,9100221,9173299,8301164,6797065
100,9632960,11780483,9161371,7651438
101,9362268,9442898,8409868,6865767
102,9241375,9360132,8236056,6829306
103,9348361,9496494,8466695,6973950
104,9772390,9944297,8549324,7183155
105,9662875,9764339,8526666,7057471
106,9734910,9920910,8577086,7142267
107,9082010,9167275,8237953,6751569
108,9575526,9775798,8605317,7144507
109,9069926,9238060,8220295,6714327
110,9384057,9512710,8359886,6929808
111,9606674,9740483,8334782,6876003
112,8882623,9009662,8367179,6869649
113,9470885,9577870,8355564,6863346
114,10006800,10210197,8710114,7291703
115,9764495,9918410,8446298,7038512
116,9790070,10027166,8953773,7344727
117,9505835,9778194,8375564,6916995
118,9952734,10205040,8650735,7265972
119,9672927,9769651,8368064,6966164
120,9401715,11414326,8342698,6956841
121,9232279,9451509,8777774,7140080
122,9787361,9913254,8587608,7102266
123,9565422,9762672,8792254,7307694
124,10256061,10501635,8919834,7686854
125,9653258,9825663,8665186,7215736
