trial,original_ns,tco_ns,method2_ns,iterative_ns
0,2022126,2078552,1745210,1362152
1,2155725,2234733,1745414,1401309
2,2202093,2257617,1744346,1396773
3,2118980,2179472,1723970,1356644
4,2149088,2216901,1781642,1405617
5,2043859,2095940,1730726,1360592
6,2364827,2496841,1926928,1534511
7,2048719,2108000,1769151,1365321
8,2256034,2364804,1855444,1474438
9,2088967,2147072,1760823,1371489
10,2062663,2094499,1715558,1338716
11,2232177,2314342,1816383,1414125
12,2176136,2242293,1803615,1413513
13,2026926,2125615,1825095,1463986
14,2182652,2230809,1748786,1353129
15,2130980,2207840,1799631,1391889
16,2030683,2071687,1718365,1344584
17,2304298,2389176,1824111,1475757
18,2051790,2109427,1744070,1349013
19,1972061,2028702,1752494,1362165
20,2177108,2272546,1833484,1473634
21,1964922,1985514,1688293,1292324
22,2332403,2344403,1811763,1435341
23,2106392,2173353,1738466,1338944
24,2037018,2094115,1733474,1369400
25,2063502,2175477,1811895,1435185
26,2011506,2018575,1676641,1288279
27,2184620,2261062,1761794,1393737
28,2074531,2122184,1743002,1352984
29,2187909,2258481,1773674,1415553
30,2134592,2175668,1782602,1369364
31,2182340,2232669,1770495,1395381
32,2018862,2071411,1760678,1347032
33,2156864,2245414,1754031,1370961
34,2083135,2125124,1748798,1361108
35,2111611,2170724,1754786,1372461
36,2087791,2149556,1770567,1395861
37,2096263,2172980,1794831,1416705
38,2112127,2162276,1734998,1397865
39,2150612,2197125,1730942,1353020
40,2021898,2064883,1756778,1387917
41,2097128,2167269,1751426,1388625
42,2021406,2049846,1716926,1321856
43,1972566,1995762,1739270,1299427
44,2065614,2110927,1747430,1375844
45,1993650,2042791,1753335,1385973
46,2118716,2153144,1706378,1335992
47,2063299,2111863,1698949,1344572
48,2121583,2182736,1807971,1402929
49,2079655,2141840,1772426,1395057
50,2048551,2082895,1766570,1357400
51,2163908,2240086,1772199,1386501
52,2070883,2159708,1808740,1447402
53,2057827,2106692,1721354,1321543
54,2056590,2100079,1756515,1349216
55,2118427,2188545,1723262,1383213
56,2046523,2393712,2025774,1396436
57,2283574,2356680,1804047,1445505
58,2153840,2251077,1800447,1471330
59,2074446,2128244,1759047,1360124
60,1980149,2018502,1735309,1324616
61,2107892,2145104,1727762,1353980
62,2197052,2257258,1766403,1376445
63,2199069,2253262,1804551,1390821
64,2202837,2037810,1743722,1365140
65,2055031,2108408,1772847,1375713
66,2224377,2292947,1772054,1420893
67,2189396,2281510,1841631,1464717
68,2218521,2294878,1829667,1428682
69,1954853,2024898,1772786,1393040
70,2037966,2103967,1760234,1399209
71,2130355,2216493,1809915,1447017
72,2503165,2646099,1883236,1541194
73,2124896,2181705,1766679,1384233
74,2098927,2118272,1769042,1403265
75,2078178,2141360,1741274,1350704
76,2166812,2250729,1830387,1400289
77,2243122,2406264,1836003,1394085
78,2113759,2042059,1814379,1379457
79,2414232,2316214,1729286,1393005
80,2091055,2156420,1758711,1345352
81,1982142,2029446,1750514,1377968
82,2086303,2131604,1728013,1349432
83,2144000,2205477,1768166,1406961
84,2000778,2027322,1721678,1300736
85,2055763,2082199,1726010,1317092
86,2175189,2255734,1829151,1419646
87,1942181,1998293,1733390,1344056
88,2095075,2152904,1735274,1361864
89,2079211,2179929,1750826,1385456
90,2082355,2126912,1680361,1324880
91,2087035,2140064,1827267,1433710
92,2148188,2205753,1800063,1390124
93,2076055,2112908,1747430,1342100
94,2051251,2110520,1778859,1358564
95,2172093,2278498,1864407,1474990
96,2048851,2093900,1775511,1361576
97,2025930,2060803,1773026,1342364
98,2181704,2024622,1728362,1298564
99,2045119,2118187,1749434,1381929
100,2122088,2165168,1751450,1395993
101,2032290,2069958,1730294,1337192
102,2303278,2379623,1749602,1383765
103,1926869,1953605,1728122,1291999
104,2254018,2384064,1927505,1491730
105,2113279,2179100,1772786,1400961
106,2255998,2353428,1832763,1458538
107,2072203,2136584,1728277,1381281
108,2012874,2045838,1745750,1301516
109,2156060,2294014,1840816,1488490
110,2213409,2305954,1752087,1435509
111,2200845,2282854,1766427,1418097
112,2127535,2184092,1829871,1412889
113,2122064,2182845,1770854,1414905
114,2012094,2073043,1783239,1346373
115,2320991,2414148,1795827,1449214
116,2126744,2166536,1696921,1317140
117,2054335,2097991,1809303,1393401
118,2192708,2300902,1855396,1505134
119,2090119,2149544,1768947,1362465
120,2632648,2796390,1945469,1553087
121,2007306,2036106,1740782,1433986
122,2046642,2114575,1791723,1411737
123,2089040,2157320,1804575,1384581
124,2010330,2057215,1762887,1385553
125,2064583,2095075,1741586,1316756
126,2004498,2048455,1771010,1339688
127,1961093,2010258,1731314,1306484
128,2370984,2506502,1888240,1535843
129,2260222,2356607,1782951,1415601
130,2061018,2094199,1675705,1304936
131,1987554,2035999,1730078,1338536
132,2108059,2165516,1775666,1396941
133,2047062,2132540,1820715,1437117
134,2031150,2041255,1697090,1287943
135,2005242,2043067,1782687,1367708
136,2099000,2196777,1864623,1433613
137,2107495,2163812,1726490,1380848
138,2089975,2145560,1800399,1395897
139,2095040,2113400,1758278,1367360
140,1985093,2030202,1753022,1337420
141,2152700,2236018,1750334,1413225
142,2076595,2138948,1734146,1352996
143,2271154,2346287,1754030,1415337
144,2173245,2329091,1827112,1418421
145,2175056,2210841,1704986,1372581
146,2140304,2189816,1743194,1348988
147,2405196,2516881,1775354,1467958
148,2096815,2144576,1730102,1344248
149,1947437,1978901,1760270,1334924
150,1966241,2023782,1753682,1369905
151,2082055,2110987,1727450,1335848
152,2281330,2388743,1880320,1507342
153,2198972,2261710,1791855,1395861
154,2119495,2190884,1833663,1457685
155,2173076,2256057,1784306,1434777
156,2118476,2219205,1880392,1475230
157,2072419,2109152,1760583,1338068
158,1965533,2005025,1707589,1325672
159,2154248,2223969,1776962,1405845
160,1923977,1975566,1765635,1365584
161,1888396,1919272,1721966,1293163
162,2145452,2231494,1800339,1447269
163,2175560,2252241,1793091,1439290
164,2072695,2109835,1710037,1306807
165,2142620,2184512,1744322,1435725
166,2025439,2080735,1761782,1378028
167,2128435,2206161,1743566,1361144
168,2112548,2160116,1758494,1356272
169,2091571,2137544,1792215,1421266
170,2409216,2566946,2060299,1476850
171,2224569,2290642,1735645,1368704
172,1990434,2034534,1713110,1352768
173,1995077,2029074,1707781,1316791
174,1990085,2040870,1762610,1384161
175,2173604,2226429,1775510,1398308
176,2098975,2133596,1700702,1330520
177,2125484,2182160,1792778,1384869
178,2024694,2065975,1755566,1351220
179,2091127,2127152,1799690,1366808
180,2188904,2279086,1811319,1455442
181,2120540,2178801,1729574,1361012
182,2116975,2159648,1699957,1338248
183,2016834,2053302,1720274,1340636
